service_request_id,service_request_parent_id,sap_notification_number,date_requested,case_age_days,case_record_type,service_name,service_name_detail,date_closed,status,lat,lng,street_address,zipcode,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,specify_the_issue,referred,iamfloc,floc,public_url,public_description
100000,,150000761164.0,2016-08-17T07:49:00,21.0,TSW,Street Light Maintenance,,2016-09-08,Closed,32.82667739481724,-117.21674867866062,"4481 KAMLOOP AV, 92117",,2.0,6.0,Clairemont Mesa,,Email,,,,SX-005057-001,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033LYzAAM,This light has never worked consistently since it was installed
100012,,150000761192.0,2016-08-17T08:42:00,20.0,TSW,Street Light Maintenance,,2016-09-07,Closed,32.81998820798787,-117.15308456344604,Armour St and Pepsi Dr,,6.0,50.0,Kearny Mesa,,Web,,,,SX-005346-001,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033M63AAE,Street light out at intersection.
100054,,150000761255.0,2016-08-17T10:50:00,70.0,TSW,Street Light Maintenance,,2016-10-27,Closed,32.75077861450934,-117.17855885218432,"4000-4048 Stephens St, San Diego, CA 92103, USA",,3.0,42.0,Uptown,,Web,,,,SX-010395-001,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033NNAAA2,The street light is out causing this side of the street to be very dark.
100072,,150000761277.0,2016-08-17T11:40:00,20.0,TSW,Street Light Maintenance,,2016-09-07,Closed,32.794195,-117.0336415,7632 Lake Ree-St Light out,,7.0,20.0,Navajo,,Web,,,,SX-007481-001,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033NtzAAE,Lake Leven Drive and the surrounding streets in the neighborhood have been the victim of multiple auto break ins. The community is requesting the installation of additional street lights for enhanced neighborhood security.
100078,,150000761304.0,2016-08-17T12:35:00,68.0,TSW,Street Light Maintenance,,2016-10-25,Closed,32.758827827708075,-117.10843114776615,"4507 Terrace Dr, San Diego, CA 92116, USA",,9.0,58.0,Mid-City:Kensington-Talmadge,,Web,,,,SS-026309,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033OVAAA2,"Historic lamps on walkway over I15 have paint that is faded, chipped and of different colors. Some of the lamps also seem to be corroded.  Some of the lights are graffiti'd. At least one has exposed wiring at its base. Problem persists from 40th st entrance to walkway to the first corner in Kensington just off the walkway"
100099,,150000761333.0,2016-08-17T14:05:00,21.0,TSW,Street Light Maintenance,,2016-09-08,Closed,32.828714023378474,-117.12657857366474,"9305-9313 Ruffin Ct, San Diego, CA 92123, USA",,6.0,50.0,Kearny Mesa,,Web,,,,SX-004844-004,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033PJ5AAM,Street light is out.  It's 10 yards north of a traffic signal on the NE corner
100118,,150000761380.0,2016-08-17T15:39:00,21.0,TSW,Street Light Maintenance,,2016-09-08,Closed,32.7599793,-117.0950796,"4630 Aldine Drive, San Diego, CA, United States",,9.0,58.0,Mid-City:Kensington-Talmadge,,Web,,,,SS-002105-002,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033PowAAE,"At 4630 Aldine Drive, there is a Cobra Streetlight that is located on the north side of the road that is burning during the day.  Suspect bad lamp or photocell."
100127,,150000761399.0,2016-08-17T16:58:00,20.0,TSW,Street Light Maintenance,,2016-09-07,Closed,32.744671,-117.143392,"3659 Florida Street San Diego, CA 92104",,3.0,28.0,North Park,,Mobile,,,,SS-011247-002,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033Q3NAAU,"Lights on for days, through night and day"
100172,,500000134613.0,2016-08-17T20:53:00,107.0,TSW,Street Light Maintenance,,2016-12-02,Closed,32.771865,-117.105377,"5167 Edgeware Road, San Diego, CA, United States",,9.0,58.0,Mid-City:Kensington-Talmadge,,Web,,,,SS-009899-001,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033QOGAA2,Street light out for the second night in a row.
100174,,150000761402.0,2016-08-17T20:59:00,108.0,TSW,Street Light Maintenance,,2016-12-03,Closed,32.968941,-117.078014,"13755 Sorbonne Court, San Diego, CA 92128, United States",,5.0,3.0,Carmel Mountain Ranch,,Web,,,,SS-025237-001,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033QOVAA2,"Dear City Representative,

The street light in front of my house is not on after dark since a few days ago. I would like to request for someone to check on the problem.

Thanks."
